n,effort_row,rep,estimator,p,α,χ,h,a,r,t
2,82,1,standard,0.1,1.0,0.05,5000,1.0,1.0,69
2,83,1,standard,0.1,1.0,0.05,5000,1.0,1.0,7
2,84,1,standard,0.1,1.0,0.05,5000,1.0,1.0,57
2,85,1,standard,0.1,1.0,0.05,5000,1.0,1.0,32
2,86,1,standard,0.1,1.0,0.05,5000,1.0,1.0,90
2,87,1,standard,0.1,1.0,0.05,5000,1.0,1.0,69
2,88,1,standard,0.1,1.0,0.05,5000,1.0,1.0,24
2,89,1,standard,0.1,1.0,0.05,5000,1.0,1.0,9
2,90,1,standard,0.1,1.0,0.05,5000,1.0,1.0,7
2,91,1,standard,0.1,1.0,0.05,5000,1.0,1.0,68
2,92,1,standard,0.1,1.0,0.05,5000,1.0,1.0,1
2,93,1,standard,0.1,1.0,0.05,5000,1.0,1.0,23
2,94,1,standard,0.1,1.0,0.05,5000,1.0,1.0,9
2,95,1,standard,0.1,1.0,0.05,5000,1.0,1.0,5
2,96,1,standard,0.1,1.0,0.05,5000,1.0,1.0,17
2,97,1,standard,0.1,1.0,0.05,5000,1.0,1.0,9
2,98,1,standard,0.1,1.0,0.05,5000,1.0,1.0,58
2,99,1,standard,0.1,1.0,0.05,5000,1.0,1.0,30
2,100,1,standard,0.1,1.0,0.05,5000,1.0,1.0,26
2,1,1,standard,0.2,1.0,0.05,5000,1.0,1.0,1
2,2,1,standard,0.2,1.0,0.05,5000,1.0,1.0,4
2,3,1,standard,0.2,1.0,0.05,5000,1.0,1.0,5
2,4,1,standard,0.2,1.0,0.05,5000,1.0,1.0,21
2,5,1,standard,0.2,1.0,0.05,5000,1.0,1.0,10
2,6,1,standard,0.2,1.0,0.05,5000,1.0,1.0,9
2,7,1,standard,0.2,1.0,0.05,5000,1.0,1.0,1
2,8,1,standard,0.2,1.0,0.05,5000,1.0,1.0,2
2,9,1,standard,0.2,1.0,0.05,5000,1.0,1.0,12
2,10,1,standard,0.2,1.0,0.05,5000,1.0,1.0,19
2,11,1,standard,0.2,1.0,0.05,5000,1.0,1.0,13
2,12,1,standard,0.2,1.0,0.05,5000,1.0,1.0,5
2,13,1,standard,0.2,1.0,0.05,5000,1.0,1.0,3
2,14,1,standard,0.2,1.0,0.05,5000,1.0,1.0,6
2,15,1,standard,0.2,1.0,0.05,5000,1.0,1.0,7
2,16,1,standard,0.2,1.0,0.05,5000,1.0,1.0,11
2,17,1,standard,0.2,1.0,0.05,5000,1.0,1.0,26
2,18,1,standard,0.2,1.0,0.05,5000,1.0,1.0,10
2,19,1,standard,0.2,1.0,0.05,5000,1.0,1.0,14
2,20,1,standard,0.2,1.0,0.05,5000,1.0,1.0,25
2,21,1,standard,0.2,1.0,0.05,5000,1.0,1.0,15
2,22,1,standard,0.2,1.0,0.05,5000,1.0,1.0,13
2,23,1,standard,0.2,1.0,0.05,5000,1.0,1.0,8
2,24,1,standard,0.2,1.0,0.05,5000,1.0,1.0,11
2,25,1,standard,0.2,1.0,0.05,5000,1.0,1.0,7
2,26,1,standard,0.2,1.0,0.05,5000,1.0,1.0,6
2,27,1,standard,0.2,1.0,0.05,5000,1.0,1.0,26
2,28,1,standard,0.2,1.0,0.05,5000,1.0,1.0,2
2,29,1,standard,0.2,1.0,0.05,5000,1.0,1.0,4
2,30,1,standard,0.2,1.0,0.05,5000,1.0,1.0,8
2,31,1,standard,0.2,1.0,0.05,5000,1.0,1.0,14
2,32,1,standard,0.2,1.0,0.05,5000,1.0,1.0,12
2,33,1,standard,0.2,1.0,0.05,5000,1.0,1.0,16
2,34,1,standard,0.2,1.0,0.05,5000,1.0,1.0,21
2,35,1,standard,0.2,1.0,0.05,5000,1.0,1.0,18
2,36,1,standard,0.2,1.0,0.05,5000,1.0,1.0,16
2,37,1,standard,0.2,1.0,0.05,5000,1.0,1.0,11
2,38,1,standard,0.2,1.0,0.05,5000,1.0,1.0,7
2,39,1,standard,0.2,1.0,0.05,5000,1.0,1.0,15
2,40,1,standard,0.2,1.0,0.05,5000,1.0,1.0,11
2,41,1,standard,0.2,1.0,0.05,5000,1.0,1.0,8
2,42,1,standard,0.2,1.0,0.05,5000,1.0,1.0,4
2,43,1,standard,0.2,1.0,0.05,5000,1.0,1.0,16
2,44,1,standard,0.2,1.0,0.05,5000,1.0,1.0,12
2,45,1,standard,0.2,1.0,0.05,5000,1.0,1.0,5
2,46,1,standard,0.2,1.0,0.05,5000,1.0,1.0,2
2,47,1,standard,0.2,1.0,0.05,5000,1.0,1.0,9
2,48,1,standard,0.2,1.0,0.05,5000,1.0,1.0,7
