estimator,n,t_mean,t_std,min,max,#nonconverge
standard,2,12.73085,15.050795148404472,1,306,0
detmle,2,13.54685,15.84956041995434,1,267,0
mle,2,17.8328,19.04648215771356,1,227,0
heuristic,2,18.74015,20.267290547352577,1,229,0
bayesian,2,16.9118,19.725348545178605,1,271,0
