n,rep,estimator,t
2,201,mle,14
2,202,mle,13
2,203,mle,52
2,204,mle,47
2,205,mle,34
2,206,mle,55
2,207,mle,22
2,208,mle,13
2,209,mle,55
2,210,mle,19
2,211,mle,10
2,212,mle,290
2,213,mle,63
2,214,mle,17
2,215,mle,53
2,216,mle,22
2,217,mle,49
2,218,mle,14
2,219,mle,23
2,220,mle,10
2,221,mle,21
2,222,mle,14
2,223,mle,76
2,224,mle,21
2,225,mle,110
2,226,mle,45
2,227,mle,42
2,228,mle,124
2,229,mle,52
2,230,mle,28
2,231,mle,30
2,232,mle,14
2,233,mle,51
2,234,mle,29
2,235,mle,11
2,236,mle,44
2,237,mle,22
2,238,mle,20
2,239,mle,24
2,240,mle,10
2,241,mle,18
2,242,mle,19
2,243,mle,21
2,244,mle,6
2,245,mle,127
2,246,mle,40
2,247,mle,19
2,248,mle,45
2,249,mle,47
2,250,mle,5
2,251,mle,45
2,252,mle,46
2,253,mle,116
2,254,mle,3
2,255,mle,27
2,256,mle,12
2,257,mle,124
2,258,mle,36
2,259,mle,40
2,260,mle,95
2,261,mle,14
2,262,mle,37
2,263,mle,37
2,264,mle,15
2,265,mle,17
2,266,mle,67
2,267,mle,26
2,268,mle,56
2,269,mle,18
2,270,mle,17
2,271,mle,20
2,272,mle,5
2,273,mle,59
2,274,mle,19
2,275,mle,54
2,276,mle,7
2,277,mle,10
2,278,mle,4
2,279,mle,111
2,280,mle,15
2,281,mle,102
2,282,mle,31
2,283,mle,24
2,284,mle,8
2,285,mle,10
2,286,mle,49
2,287,mle,7
2,288,mle,15
2,289,mle,25
2,290,mle,41
2,291,mle,29
2,292,mle,43
2,293,mle,38
2,294,mle,24
2,295,mle,37
2,296,mle,26
2,297,mle,61
2,298,mle,171
2,299,mle,17
2,300,mle,10
2,301,mle,9
2,302,mle,18
2,303,mle,28
2,304,mle,21
2,305,mle,50
2,306,mle,8
2,307,mle,20
2,308,mle,37
2,309,mle,34
2,310,mle,50
2,311,mle,13
2,312,mle,42
2,313,mle,166
2,314,mle,33
2,315,mle,17
2,316,mle,54
2,317,mle,19
2,318,mle,16
2,319,mle,27
2,320,mle,14
2,321,mle,22
2,322,mle,56
2,323,mle,20
2,324,mle,42
2,325,mle,31
2,326,mle,36
2,327,mle,24
2,328,mle,19
2,329,mle,40
2,330,mle,64
2,331,mle,44
2,332,mle,101
2,333,mle,9
2,334,mle,20
2,335,mle,43
2,336,mle,15
2,337,mle,20
2,338,mle,21
2,339,mle,26
2,340,mle,15
2,341,mle,94
2,342,mle,17
2,343,mle,41
2,344,mle,93
2,345,mle,24
2,346,mle,16
2,347,mle,109
2,348,mle,13
2,349,mle,11
2,350,mle,44
2,351,mle,45
2,352,mle,32
2,353,mle,55
2,354,mle,11
2,355,mle,82
2,356,mle,12
2,357,mle,84
2,358,mle,70
2,359,mle,38
2,360,mle,15
2,361,mle,44
2,362,mle,20
2,363,mle,15
2,364,mle,35
2,365,mle,105
2,366,mle,21
2,367,mle,43
2,368,mle,26
2,369,mle,18
2,370,mle,15
2,371,mle,17
2,372,mle,7
2,373,mle,101
2,374,mle,24
2,375,mle,98
2,376,mle,65
2,377,mle,53
2,378,mle,28
2,379,mle,24
2,380,mle,34
2,381,mle,16
2,382,mle,48
2,383,mle,11
2,384,mle,48
2,385,mle,38
2,386,mle,10
2,387,mle,22
2,388,mle,34
2,389,mle,87
2,390,mle,15
2,391,mle,7
2,392,mle,7
2,393,mle,14
2,394,mle,4
2,395,mle,6
2,396,mle,64
2,397,mle,12
2,398,mle,9
2,399,mle,45
2,400,mle,77
2,401,mle,52
2,402,mle,12
2,403,mle,48
2,404,mle,26
2,405,mle,8
2,406,mle,8
2,407,mle,28
2,408,mle,54
2,409,mle,60
2,410,mle,62
2,411,mle,16
2,412,mle,82
2,413,mle,11
2,414,mle,84
2,415,mle,6
2,416,mle,45
2,417,mle,28
2,418,mle,37
2,419,mle,50
2,420,mle,122
2,421,mle,36
2,422,mle,68
2,423,mle,41
2,424,mle,24
2,425,mle,6
2,426,mle,42
2,427,mle,3
2,428,mle,21
2,429,mle,66
2,430,mle,38
2,431,mle,8
2,432,mle,4
2,433,mle,22
2,434,mle,22
2,435,mle,10
2,436,mle,19
2,437,mle,15
2,438,mle,38
2,439,mle,15
2,440,mle,16
2,441,mle,5
2,442,mle,29
2,443,mle,27
2,444,mle,56
2,445,mle,12
2,446,mle,14
2,447,mle,7
2,448,mle,30
2,449,mle,30
2,450,mle,40
2,451,mle,57
2,452,mle,131
2,453,mle,28
2,454,mle,11
2,455,mle,52
2,456,mle,74
2,457,mle,30
2,458,mle,60
2,459,mle,53
2,460,mle,35
2,461,mle,31
2,462,mle,12
2,463,mle,68
2,464,mle,23
2,465,mle,51
2,466,mle,63
2,467,mle,25
2,468,mle,6
2,469,mle,59
2,470,mle,24
2,471,mle,16
2,472,mle,50
2,473,mle,12
2,474,mle,9
2,475,mle,15
2,476,mle,62
2,477,mle,10
2,478,mle,19
2,479,mle,59
2,480,mle,28
2,481,mle,20
2,482,mle,17
2,483,mle,15
2,484,mle,119
2,485,mle,82
2,486,mle,21
2,487,mle,71
2,488,mle,59
2,489,mle,10
2,490,mle,18
2,491,mle,43
2,492,mle,101
2,493,mle,35
2,494,mle,8
2,495,mle,31
2,496,mle,6
2,497,mle,227
2,498,mle,6
2,499,mle,19
2,500,mle,43
2,501,mle,131
2,502,mle,27
2,503,mle,81
2,504,mle,70
2,505,mle,34
2,506,mle,62
2,507,mle,8
2,508,mle,5
2,509,mle,26
2,510,mle,46
2,511,mle,18
2,512,mle,15
2,513,mle,10
2,514,mle,16
2,515,mle,10
2,516,mle,15
2,517,mle,22
2,518,mle,18
2,519,mle,16
2,520,mle,10
2,521,mle,4
2,522,mle,37
2,523,mle,41
2,524,mle,117
2,525,mle,11
2,526,mle,4
2,527,mle,27
2,528,mle,32
2,529,mle,28
2,530,mle,14
2,531,mle,32
2,532,mle,11
2,533,mle,8
2,534,mle,43
2,535,mle,29
2,536,mle,21
2,537,mle,13
2,538,mle,30
2,539,mle,33
2,540,mle,38
2,541,mle,45
2,542,mle,48
2,543,mle,69
2,544,mle,22
2,545,mle,23
2,546,mle,70
2,547,mle,9
2,548,mle,20
2,549,mle,8
2,550,mle,38
2,551,mle,41
2,552,mle,22
2,553,mle,24
2,554,mle,23
2,555,mle,18
2,556,mle,27
2,557,mle,111
2,558,mle,64
2,559,mle,101
2,560,mle,54
2,561,mle,40
2,562,mle,26
2,563,mle,134
2,564,mle,35
2,565,mle,23
2,566,mle,145
2,567,mle,19
2,568,mle,46
2,569,mle,33
2,570,mle,35
2,571,mle,6
2,572,mle,11
2,573,mle,28
2,574,mle,15
2,575,mle,53
2,576,mle,20
2,577,mle,27
2,578,mle,21
2,579,mle,27
2,580,mle,4
2,581,mle,15
2,582,mle,16
2,583,mle,46
2,584,mle,28
2,585,mle,6
2,586,mle,11
2,587,mle,15
2,588,mle,51
2,589,mle,10
2,590,mle,16
2,591,mle,7
2,592,mle,20
2,593,mle,6
2,594,mle,47
2,595,mle,3
2,596,mle,8
2,597,mle,6
2,598,mle,22
2,599,mle,6
2,600,mle,34
2,601,mle,13
2,602,mle,71
2,603,mle,16
2,604,mle,29
2,605,mle,37
2,606,mle,13
2,607,mle,5
2,608,mle,61
2,609,mle,24
2,610,mle,12
2,611,mle,15
2,612,mle,45
2,613,mle,10
2,614,mle,47
2,615,mle,9
2,616,mle,13
2,617,mle,16
2,618,mle,15
2,619,mle,15
2,620,mle,47
2,621,mle,21
2,622,mle,57
2,623,mle,47
2,624,mle,69
2,625,mle,35
2,626,mle,32
2,627,mle,33
2,628,mle,95
2,629,mle,13
2,630,mle,19
2,631,mle,8
2,632,mle,29
2,633,mle,155
2,634,mle,43
2,635,mle,18
2,636,mle,6
2,637,mle,6
2,638,mle,18
2,639,mle,14
2,640,mle,32
2,641,mle,17
2,642,mle,36
2,643,mle,29
2,644,mle,20
2,645,mle,5
2,646,mle,44
2,647,mle,14
2,648,mle,11
2,649,mle,26
2,650,mle,62
2,651,mle,8
2,652,mle,125
2,653,mle,30
2,654,mle,9
2,655,mle,28
2,656,mle,59
2,657,mle,5
2,658,mle,12
2,659,mle,5
2,660,mle,63
2,661,mle,5
2,662,mle,44
2,663,mle,16
2,664,mle,33
2,665,mle,19
2,666,mle,31
2,667,mle,3
2,668,mle,13
2,669,mle,236
2,670,mle,13
2,671,mle,9
2,672,mle,22
2,673,mle,75
2,674,mle,62
2,675,mle,46
2,676,mle,50
2,677,mle,110
2,678,mle,7
2,679,mle,26
2,680,mle,14
2,681,mle,23
2,682,mle,16
2,683,mle,5
2,684,mle,8
2,685,mle,7
2,686,mle,52
2,687,mle,30
2,688,mle,9
2,689,mle,25
2,690,mle,93
2,691,mle,36
2,692,mle,27
2,693,mle,22
2,694,mle,51
2,695,mle,209
2,696,mle,97
2,697,mle,17
2,698,mle,30
2,699,mle,199
2,700,mle,271
2,701,mle,52
2,702,mle,39
2,703,mle,27
2,704,mle,49
2,705,mle,29
2,706,mle,131
2,707,mle,11
2,708,mle,23
2,709,mle,57
2,710,mle,39
2,711,mle,22
2,712,mle,57
2,713,mle,10
2,714,mle,6
2,715,mle,21
2,716,mle,49
2,717,mle,55
2,718,mle,21
2,719,mle,90
2,720,mle,10
2,721,mle,41
2,722,mle,12
2,723,mle,17
2,724,mle,69
2,725,mle,13
2,726,mle,27
2,727,mle,19
2,728,mle,11
2,729,mle,41
2,730,mle,7
2,731,mle,2
2,732,mle,7
2,733,mle,8
2,734,mle,15
2,735,mle,64
2,736,mle,6
2,737,mle,127
2,738,mle,31
2,739,mle,8
2,740,mle,14
2,741,mle,111
2,742,mle,13
2,743,mle,47
2,744,mle,23
2,745,mle,24
2,746,mle,21
2,747,mle,51
2,748,mle,40
2,749,mle,22
2,750,mle,33
2,751,mle,55
2,752,mle,52
2,753,mle,10
2,754,mle,33
2,755,mle,35
2,756,mle,8
2,757,mle,5
2,758,mle,26
2,759,mle,27
2,760,mle,52
2,761,mle,30
2,762,mle,12
2,763,mle,32
2,764,mle,44
2,765,mle,48
2,766,mle,116
2,767,mle,32
2,768,mle,10
2,769,mle,8
2,770,mle,22
2,771,mle,37
2,772,mle,35
2,773,mle,27
2,774,mle,9
2,775,mle,35
2,776,mle,39
2,777,mle,45
2,778,mle,2
2,779,mle,71
2,780,mle,70
2,781,mle,24
2,782,mle,35
2,783,mle,33
2,784,mle,16
2,785,mle,84
2,786,mle,22
2,787,mle,46
2,788,mle,17
2,789,mle,19
2,790,mle,7
2,791,mle,30
2,792,mle,20
2,793,mle,59
2,794,mle,4
2,795,mle,14
2,796,mle,20
2,797,mle,108
2,798,mle,4
2,799,mle,10
2,800,mle,5
2,801,mle,19
2,802,mle,44
2,803,mle,122
2,804,mle,43
2,805,mle,11
2,806,mle,9
2,807,mle,35
2,808,mle,36
2,809,mle,28
2,810,mle,26
2,811,mle,26
2,812,mle,21
2,813,mle,55
2,814,mle,123
2,815,mle,40
2,816,mle,19
2,817,mle,46
2,818,mle,11
2,819,mle,13
2,820,mle,34
2,821,mle,39
2,822,mle,35
2,823,mle,7
2,824,mle,16
2,825,mle,17
2,826,mle,6
2,827,mle,52
2,828,mle,13
2,829,mle,58
2,830,mle,36
2,831,mle,61
2,832,mle,23
2,833,mle,10
2,834,mle,30
2,835,mle,21
2,836,mle,38
2,837,mle,26
2,838,mle,65
2,839,mle,44
2,840,mle,27
2,841,mle,73
2,842,mle,145
2,843,mle,11
2,844,mle,31
2,845,mle,13
2,846,mle,64
2,847,mle,33
2,848,mle,53
2,849,mle,49
2,850,mle,17
2,851,mle,27
2,852,mle,15
2,853,mle,20
2,854,mle,25
2,855,mle,102
2,856,mle,101
2,857,mle,12
2,858,mle,39
2,859,mle,32
2,860,mle,23
2,861,mle,27
2,862,mle,18
2,863,mle,20
2,864,mle,23
2,865,mle,5
2,866,mle,47
2,867,mle,9
2,868,mle,53
2,869,mle,87
2,870,mle,47
2,871,mle,6
2,872,mle,46
2,873,mle,35
2,874,mle,17
2,875,mle,17
2,876,mle,27
2,877,mle,18
2,878,mle,10
2,879,mle,97
2,880,mle,106
2,881,mle,32
2,882,mle,48
2,883,mle,44
2,884,mle,23
2,885,mle,12
2,886,mle,52
2,887,mle,103
2,888,mle,8
2,889,mle,20
2,890,mle,198
2,891,mle,25
2,892,mle,18
2,893,mle,58
2,894,mle,6
2,895,mle,37
2,896,mle,71
2,897,mle,16
2,898,mle,22
2,899,mle,73
2,900,mle,31
2,901,mle,27
2,902,mle,24
2,903,mle,69
2,904,mle,131
2,905,mle,44
2,906,mle,34
2,907,mle,10
2,908,mle,48
2,909,mle,19
2,910,mle,53
2,911,mle,9
2,912,mle,12
2,913,mle,34
2,914,mle,24
2,915,mle,15
2,916,mle,22
2,917,mle,17
2,918,mle,21
2,919,mle,7
2,920,mle,5
2,921,mle,11
2,922,mle,25
2,923,mle,31
2,924,mle,33
2,925,mle,19
2,926,mle,2
2,927,mle,11
2,928,mle,69
2,929,mle,96
2,930,mle,9
2,931,mle,8
2,932,mle,20
2,933,mle,52
2,934,mle,25
2,935,mle,15
2,936,mle,9
2,937,mle,33
2,938,mle,57
2,939,mle,114
2,940,mle,39
2,941,mle,19
2,942,mle,14
2,943,mle,44
2,944,mle,5
2,945,mle,13
2,946,mle,38
2,947,mle,120
2,948,mle,70
2,949,mle,5
2,950,mle,35
2,951,mle,26
2,952,mle,32
2,953,mle,22
2,954,mle,36
2,955,mle,31
2,956,mle,118
2,957,mle,197
2,958,mle,13
2,959,mle,41
2,960,mle,53
2,961,mle,68
2,962,mle,9
2,963,mle,44
2,964,mle,15
2,965,mle,5
2,966,mle,41
2,967,mle,27
2,968,mle,52
2,969,mle,20
2,970,mle,35
2,971,mle,134
2,972,mle,35
2,973,mle,87
2,974,mle,16
2,975,mle,37
2,976,mle,24
2,977,mle,18
2,978,mle,34
2,979,mle,75
2,980,mle,48
2,981,mle,21
2,982,mle,13
2,983,mle,10
2,984,mle,15
2,985,mle,15
2,986,mle,44
2,987,mle,124
2,988,mle,20
2,989,mle,39
2,990,mle,52
2,991,mle,21
2,992,mle,17
2,993,mle,12
2,994,mle,22
2,995,mle,34
2,996,mle,17
2,997,mle,69
2,998,mle,4
2,999,mle,53
2,1000,mle,14
4,1,mle,2459
4,2,mle,2231
4,3,mle,944
4,4,mle,608
4,5,mle,731
4,6,mle,702
4,7,mle,1287
4,8,mle,1614
4,9,mle,1159
4,10,mle,331
4,11,mle,508
4,12,mle,660
4,13,mle,3463
4,14,mle,371
4,15,mle,1388
4,16,mle,536
4,17,mle,594
4,18,mle,1522
4,19,mle,3228
4,20,mle,144
4,21,mle,767
4,22,mle,833
4,23,mle,1077
4,24,mle,639
4,25,mle,1079
4,26,mle,430
4,27,mle,1959
4,28,mle,609
4,29,mle,412
4,30,mle,1709
4,31,mle,1170
4,32,mle,708
4,33,mle,1972
4,34,mle,708
4,35,mle,705
4,36,mle,743
4,37,mle,1333
4,38,mle,2620
4,39,mle,1763
4,40,mle,870
4,41,mle,1683
4,42,mle,1537
4,43,mle,1444
4,44,mle,1350
4,45,mle,1531
4,46,mle,1138
4,47,mle,1894
4,48,mle,208
4,49,mle,1102
4,50,mle,186
4,51,mle,386
4,52,mle,622
4,53,mle,441
4,54,mle,240
4,55,mle,86
4,56,mle,427
4,57,mle,2785
4,58,mle,964
4,59,mle,1169
4,60,mle,885
4,61,mle,683
4,62,mle,522
4,63,mle,1987
4,64,mle,1818
4,65,mle,435
4,66,mle,1680
4,67,mle,498
4,68,mle,3617
4,69,mle,850
4,70,mle,23
4,71,mle,221
4,72,mle,614
4,73,mle,1352
4,74,mle,47
4,75,mle,355
4,76,mle,279
4,77,mle,2836
4,78,mle,1887
4,79,mle,1778
4,80,mle,1100
4,81,mle,881
4,82,mle,3102
4,83,mle,1200
4,84,mle,2410
4,85,mle,1690
4,86,mle,930
4,87,mle,1189
4,88,mle,830
4,89,mle,785
4,90,mle,470
4,91,mle,3429
4,92,mle,476
4,93,mle,293
4,94,mle,521
4,95,mle,431
4,96,mle,631
4,97,mle,1747
4,98,mle,371
4,99,mle,763
4,100,mle,1481
4,101,mle,839
4,102,mle,3338
4,103,mle,2711
4,104,mle,973
4,105,mle,1845
4,106,mle,766
4,107,mle,516
4,108,mle,218
4,109,mle,338
4,110,mle,929
4,111,mle,2235
4,112,mle,114
4,113,mle,198
4,114,mle,794
4,115,mle,
