n,rep,estimator,t
2,1,mle,13
2,2,mle,11
2,3,mle,25
2,4,mle,17
2,5,mle,65
2,6,mle,19
2,7,mle,15
2,8,mle,41
2,9,mle,59
2,10,mle,21
2,11,mle,109
2,12,mle,7
2,13,mle,23
2,14,mle,268
2,15,mle,32
2,16,mle,24
2,17,mle,13
2,18,mle,50
2,19,mle,218
2,20,mle,9
2,21,mle,7
2,22,mle,127
2,23,mle,34
2,24,mle,37
2,25,mle,86
2,26,mle,33
2,27,mle,16
2,28,mle,94
2,29,mle,22
2,30,mle,7
2,31,mle,13
2,32,mle,33
2,33,mle,19
2,34,mle,16
2,35,mle,50
2,36,mle,41
2,37,mle,24
2,38,mle,8
2,39,mle,10
2,40,mle,19
2,41,mle,10
2,42,mle,24
2,43,mle,16
2,44,mle,13
2,45,mle,12
2,46,mle,3
2,47,mle,23
2,48,mle,37
2,49,mle,6
2,50,mle,169
2,51,mle,62
2,52,mle,24
2,53,mle,22
2,54,mle,16
2,55,mle,51
2,56,mle,6
2,57,mle,107
2,58,mle,79
2,59,mle,57
2,60,mle,15
2,61,mle,36
2,62,mle,30
2,63,mle,20
2,64,mle,58
2,65,mle,64
2,66,mle,8
2,67,mle,65
2,68,mle,63
2,69,mle,16
2,70,mle,17
2,71,mle,15
2,72,mle,9
2,73,mle,41
2,74,mle,113
2,75,mle,11
2,76,mle,9
2,77,mle,24
2,78,mle,31
2,79,mle,33
2,80,mle,12
2,81,mle,16
2,82,mle,33
2,83,mle,47
2,84,mle,7
2,85,mle,92
2,86,mle,11
2,87,mle,37
2,88,mle,12
2,89,mle,25
2,90,mle,24
2,91,mle,25
2,92,mle,10
2,93,mle,11
2,94,mle,119
2,95,mle,35
2,96,mle,15
2,97,mle,25
2,98,mle,19
2,99,mle,13
2,100,mle,52
2,101,mle,39
2,102,mle,14
2,103,mle,78
2,104,mle,22
2,105,mle,31
2,106,mle,49
2,107,mle,25
2,108,mle,59
2,109,mle,29
2,110,mle,20
2,111,mle,25
2,112,mle,17
2,113,mle,9
2,114,mle,25
2,115,mle,19
2,116,mle,44
2,117,mle,33
2,118,mle,7
2,119,mle,66
2,120,mle,59
2,121,mle,48
2,122,mle,247
2,123,mle,18
2,124,mle,55
2,125,mle,3
2,126,mle,20
2,127,mle,20
2,128,mle,10
2,129,mle,16
2,130,mle,54
2,131,mle,41
2,132,mle,34
2,133,mle,13
2,134,mle,27
2,135,mle,12
2,136,mle,62
2,137,mle,20
2,138,mle,75
2,139,mle,28
2,140,mle,51
2,141,mle,8
2,142,mle,25
2,143,mle,32
2,144,mle,24
2,145,mle,38
2,146,mle,32
2,147,mle,7
2,148,mle,13
2,149,mle,23
2,150,mle,13
2,151,mle,34
2,152,mle,21
2,153,mle,17
2,154,mle,18
2,155,mle,54
2,156,mle,33
2,157,mle,7
2,158,mle,3
2,159,mle,55
2,160,mle,48
2,161,mle,68
2,162,mle,3
2,163,mle,65
2,164,mle,7
2,165,mle,40
2,166,mle,56
2,167,mle,37
2,168,mle,26
2,169,mle,54
2,170,mle,28
2,171,mle,9
2,172,mle,7
2,173,mle,74
2,174,mle,21
2,175,mle,22
2,176,mle,91
2,177,mle,48
2,178,mle,25
2,179,mle,19
2,180,mle,40
2,181,mle,54
2,182,mle,55
2,183,mle,135
2,184,mle,9
2,185,mle,77
2,186,mle,32
2,187,mle,10
2,188,mle,5
2,189,mle,8
2,190,mle,47
2,191,mle,93
2,192,mle,38
2,193,mle,32
2,194,mle,14
2,195,mle,53
2,196,mle,18
2,197,mle,30
2,198,mle,87
2,199,mle,47
2,200,mle,20
