estimator,n,t_mean,t_std,min,max,#nonconverge
mle,2,17.809,19.556404883617336,1,163,0
mle,4,148.414,171.1125597731276,2,1365,0
mle,6,225.532,236.62217780890907,2,2644,0
mle,8,203.28,194.95920776586243,5,2224,0
mle,10,110.347,105.88786914388179,6,764,0
mle,12,60.517,61.98053967414526,7,635,0
mle,14,45.675,31.344854041371285,10,319,0
mle,16,63.175,50.755004141911456,11,471,0
mle,18,86.532,73.07973469864014,13,695,0
mle,20,106.037,87.4916019479093,16,1094,0
detmle,2,13.243,14.963684802309308,1,149,0
detmle,4,26.876,22.560487574509548,1,217,0
detmle,6,42.3,31.329179968800847,4,318,0
detmle,8,62.725,42.55338018495324,3,335,0
detmle,10,80.692,52.217696462251425,3,360,0
detmle,12,88.454,65.66231357044485,5,375,0
detmle,14,71.542,82.4141269705888,7,595,0
detmle,16,37.943,25.79424536779655,8,293,0
detmle,18,45.477,23.351718861226765,11,181,0
detmle,20,57.211,31.33487439504671,14,236,0
heuristic,2,19.226,20.565355767840682,1,173,0
heuristic,4,170.714,212.63628663611115,1,2218,0
heuristic,6,285.366,284.41415128901986,2,2106,0
heuristic,8,242.753,219.17339475394363,3,1942,0
heuristic,10,129.362,128.32116457263498,5,1333,0
heuristic,12,66.278,72.13265443497718,5,576,0
heuristic,14,46.039,38.49071334768964,9,431,0
heuristic,16,53.534,36.82147015892582,9,314,0
heuristic,18,73.05,54.50312000326309,15,498,0
heuristic,20,95.704,82.11157466943806,18,1040,0
