estimator,n,χ,t_mean,t_std,min,max,#nonconverge
heuristic,4,0.08,36.315,47.04766934668256,4,299,0
heuristic,4,0.1,22.505,24.760967317787944,4,190,0
heuristic,4,0.12,17.785,20.33806676650943,4,162,0
heuristic,4,0.14,3.64,1.6382365810460304,3,17,0
heuristic,4,0.16,3.395,0.7561971772324138,3,8,0
heuristic,4,0.18,2.0,0.0,2,2,0
heuristic,4,0.2,2.0,0.0,2,2,0
bayesian,2,0.02,7.35,5.112552293597973,1,45,0
bayesian,2,0.04,7.04,5.4003908289611475,1,34,0
bayesian,2,0.06,6.665,6.236766895317849,1,65,0
bayesian,2,0.08,6.735,5.497809065674532,1,42,0
bayesian,2,0.1,7.34,7.013583375051158,1,49,0
bayesian,2,0.12,7.375,6.683390873489235,1,64,0
bayesian,2,0.14,6.82,5.271293262883082,1,44,0
bayesian,2,0.16,7.945,6.380873981189344,1,56,0
bayesian,2,0.18,8.2,6.463659526333497,1,48,0
bayesian,2,0.2,3.44,0.9385115982770289,1,6,0
bayesian,3,0.02,115.76,178.77734502860645,1,1731,0
bayesian,3,0.04,74.49,83.7208204623824,1,733,0
bayesian,3,0.06,60.31,58.19576993382728,1,396,0
bayesian,3,0.08,57.34,57.17806445898969,1,404,0
bayesian,3,0.1,50.575,48.92589386462208,1,318,0
bayesian,3,0.12,50.24,61.1325473189899,1,709,0
bayesian,3,0.14,38.05,16.841785197633172,1,156,0
bayesian,3,0.16,30.685,8.347706030994354,1,84,0
bayesian,3,0.18,27.395,5.596927998024935,1,40,0
bayesian,3,0.2,1.995,0.07071067811865482,1,2,0
bayesian,4,0.02,349.225,464.8933139352602,15,4628,0
bayesian,4,0.04,177.225,158.3335464602285,17,864,0
bayesian,4,0.06,154.36,154.84065532899805,19,979,0
bayesian,4,0.08,75.57,61.35017784495852,21,384,0
bayesian,4,0.1,55.59,33.028720561195655,25,326,0
bayesian,4,0.12,51.085,24.897332403372456,25,248,0
bayesian,4,0.14,53.135,11.32910047567501,28,95,0
bayesian,4,0.16,52.68,13.632565208751227,22,82,0
bayesian,4,0.18,2.0,0.0,2,2,0
bayesian,4,0.2,2.0,0.0,2,2,0
